Subject,BrainVolumes
IXI419-Guys-1027,1234053.81353027
IXI420-Guys-1028,1204263.48032355
IXI422-Guys-1071,1702237.09584726
IXI423-IOP-0974,1606347.87511843
IXI424-IOP-0991,1489133.06526731
IXI425-IOP-0988,1179160.09542641
IXI426-IOP-1011,1608836.27162762
IXI427-IOP-1012,1826844.50593677
IXI428-Guys-0996,1287468.30027635
IXI429-Guys-0997,1209412.96837286
IXI430-IOP-0990,1361362.59017728
IXI431-Guys-0986,1165782.59089601
IXI432-Guys-0987,1743940.25446472
IXI433-IOP-0989,1392411.92974891
IXI434-IOP-1010,1348972.93287148
IXI435-IOP-1040,1384124.29514155
IXI436-HH-2153,1656406.62145
IXI437-HH-2152,1431858.65577247
IXI438-HH-2155,1409764.18596155
IXI439-HH-2114,1476413.20503806
IXI440-HH-2127,1463801.09346762
IXI441-HH-2154,1473620.24661361
IXI442-IOP-1041,1830887.68369648
IXI443-HH-2215,1345505.80656677
IXI444-HH-2270,1317845.00905671
IXI445-HH-2269,1631928.34005986
IXI446-HH-2325,1313663.69744875
IXI447-Guys-0979,1310486.47166728
IXI448-HH-2393,1392453.5613012
IXI449-Guys-1082,1485893.65316026
IXI450-Guys-1093,1356319.7459385
IXI451-HH-2212,1425430.12502873
IXI452-HH-2213,1215946.2976886
IXI453-HH-2214,1667165.71756953
IXI454-Guys-1083,1525852.91983187
IXI455-Guys-0981,1417390.23340694
IXI456-Guys-1019,1211924.88287122
IXI457-Guys-0984,2009195.4152876
IXI458-Guys-0993,1553543.91872501
IXI459-Guys-0992,1139838.11589628
IXI460-Guys-0999,1330049.70450526
IXI461-Guys-0998,1421922.27637335
IXI462-IOP-1042,1348604.98421764
IXI463-IOP-1043,1413073.13388851
IXI464-IOP-1029,1407940.1630915
IXI465-HH-2176,1499216.16808036
IXI467-Guys-0983,1327271.1415583
IXI468-Guys-0985,1496914.97161277
IXI469-IOP-1136,1558949.4602642
IXI470-IOP-1030,1842244.44777254
IXI473-IOP-1137,1658393.05059222
IXI474-IOP-1138,1285242.24146077
IXI475-IOP-1139,1473737.1690455
IXI476-IOP-1140,1385390.2602825
IXI477-IOP-1141,1300745.09021874
IXI478-IOP-1142,1518104.8993402
IXI479-Guys-1034,1293764.80951931
IXI480-Guys-1033,1297616.50078021
IXI481-HH-2175,1455735.70362007
IXI482-HH-2178,1399409.58108612
IXI483-HH-2177,1729777.16361859
IXI484-HH-2179,1449156.8878158
IXI485-HH-2180,1259289.23813403
IXI486-Guys-1005,1065090.87401563
IXI487-Guys-1037,1602291.2238508
IXI488-Guys-1015,1483421.28428661
IXI489-Guys-1014,1414511.91494688
IXI490-Guys-1018,1294227.32661995
IXI491-Guys-1032,1328731.7591069
IXI492-Guys-1022,1383324.87848491
IXI493-Guys-1007,1468645.21085203
IXI494-Guys-1008,1631190.29919268
IXI495-Guys-1009,1425744.06069349
IXI496-Guys-1045,1197153.02312843
IXI497-Guys-1002,1693246.31398365
IXI498-Guys-1050,1262810.71648659
IXI499-Guys-1004,1468290.15059432
IXI501-Guys-1016,1457502.01830596
IXI502-Guys-1020,1246540.47922057
IXI503-Guys-1021,1544198.00243906
IXI504-Guys-1025,1541497.39086817
IXI505-Guys-1026,1153049.35326227
IXI506-Guys-1035,1484349.63419801
IXI507-Guys-1036,1535049.48107377
IXI508-HH-2268,1242297.11238714
IXI510-IOP-1143,1523428.7054473
IXI511-HH-2238,1293789.70993892
IXI512-Guys-1054,1367357.75768375
IXI515-HH-2377,1306716.7802115
IXI516-HH-2297,1298256.00522333
IXI517-IOP-1144,1509027.63856611
IXI518-HH-2239,1337122.70928867
IXI519-HH-2240,1617798.39910925
IXI521-HH-2353,1393035.07535434
IXI522-HH-2453,1500689.00568722
IXI523-Guys-1056,1374699.15927609
IXI524-HH-2412,1418431.82368681
IXI525-HH-2413,1503160.29462913
