Subject,Left_aLEC.Volume,Left_aLEC.SurfaceArea,Right_aLEC.Volume,Right_aLEC.SurfaceArea,Left_pMEC.Volume,Left_pMEC.SurfaceArea,Right_pMEC.Volume,Right_pMEC.SurfaceArea,Left_Perirhinal.Volume,Left_Perirhinal.SurfaceArea,Right_Perirhinal.Volume,Right_Perirhinal.SurfaceArea,Left_Parahippocampal.Volume,Left_Parahippocampal.SurfaceArea,Right_Parahippocampal.Volume,Right_Parahippocampal.SurfaceArea,Left_DG_CA3.Volume,Left_DG_CA3.SurfaceArea,Right_DG_CA3.Volume,Right_DG_CA3.SurfaceArea,Left_CA1.Volume,Left_CA1.SurfaceArea,Right_CA1.Volume,Right_CA1.SurfaceArea,Left_Subiculum.Volume,Left_Subiculum.SurfaceArea,Right_Subiculum.Volume,Right_Subiculum.SurfaceArea
sub-0409,715.981384,584.491,637.983412,555.088,361.990588,363.543,413.989236,398.563,1077.971972,875.148,1526.960298,1050.3,2687.930112,1476.65,2839.92616,1565.69,664.98271,635.817,645.983204,631.663,1773.953876,1600.28,1925.949924,1589.41,864.97751,871.589,874.97725,803.231
sub-0410,667.02001,532.336,665.01995,539.017,251.00753,267.087,289.00867,302.86,1412.04236,889.125,1582.04746,902.473,2431.07293,1401.03,2229.06687,1327.78,461.01383,511.584,526.01578,562.819,1484.04452,1358.4,1554.04662,1370.78,702.02106,724.213,696.02088,690.532
sub-0411,449.97885,438.005,453.978662,426.364,219.98966,274.741,310.985383,318.654,744.964985,564.147,1060.950133,781.996,2477.883534,1459.75,2727.871784,1495.89,533.974902,555.352,634.970155,631.263,1384.934905,1351.77,1390.934623,1367.76,560.973633,625.514,754.964515,841.107
sub-0412,841.955374,707.544,696.963059,591.891,446.976309,412.319,386.979489,392.498,2089.88923,1152.31,2097.888806,1264.54,2837.849586,1584.15,2878.847413,1626.62,452.975991,561.213,694.963165,695.179,1585.915942,1453.25,1549.91785,1410.83,781.958554,802.088,533.971698,609.136
sub-0413,489.03912,456.535,735.0588,690.352,251.02008,289.46,406.03248,385.037,2172.17376,1169.35,961.07688,740.838,3273.26184,1667.17,3003.24024,1526.92,417.03336,482.486,550.044,582.993,1518.12144,1295.86,1615.1292,1374.39,683.05464,718.993,761.06088,732.138
sub-0414,511.975424,469.823,404.98056,441.235,361.982624,347.745,422.979696,411.015,1083.947968,737.597,754.96376,667.63,2236.892624,1319.42,2170.895792,1248.67,541.973984,571.515,637.969376,632.671,1530.926512,1372.71,1430.931312,1333.55,733.964768,767.57,693.966688,684.376
sub-0415,600.984975,529.486,567.9858,465.576,330.991725,368.495,265.99335,306.155,1524.961875,861.849,1601.95995,924.111,2681.93295,1507.26,2695.9326,1539.49,506.987325,553.783,564.985875,568.253,1595.9601,1416.11,1487.9628,1332.34,710.982225,710.993,664.983375,656.414
sub-0416,742.00742,688.418,643.00643,662.197,340.0034,364.178,464.00464,469.586,2034.02034,1098.86,1831.01831,1251.39,2663.02663,1525.55,3249.03249,1724.15,470.0047,526.872,566.00566,581.392,1792.01792,1443.28,1894.01894,1504.62,831.00831,778.107,959.00959,801.455
sub-0417,627,531.944,508,433.721,365,367.689,387,357.549,793,589.278,1169,837.393,2373,1297.58,2509,1465.16,525,592.865,624,656.182,1603,1434.06,1652,1470.53,752,758.279,783,762.342
sub-0418,644.05152,563.535,613.04904,530.118,364.02912,373.307,441.03528,425.909,1991.15928,1095.43,1991.15928,1104.18,3392.27136,1813.44,3253.26024,1691.21,505.0404,513.093,650.052,648.58,1584.12672,1289.28,1878.15024,1511.12,801.06408,741.436,900.072,795.836
sub-0419,592.981024,520.21,582.981344,491.026,341.989056,372.701,397.987264,416.59,1315.957888,813.491,1437.953984,911.811,2108.932512,1288.61,2438.921952,1437.94,516.983456,596.787,554.98224,595.634,1645.947328,1488.51,1560.950048,1481.83,795.974528,812.838,761.975616,752.816
sub-0420,655.00655,556.174,507.00507,450.11,474.00474,447.178,425.00425,399.975,1400.014,869.401,1315.01315,854.167,2989.02989,1583.53,3117.03117,1727.94,581.00581,615.261,553.00553,580.29,1821.01821,1490.05,1709.01709,1436.68,825.00825,794.109,831.00831,757.036
sub-0421,495.961808,461.536,467.963964,418.965,333.974282,346.606,475.963348,436.852,1533.881882,889.736,1171.909756,804.202,2614.798645,1508.63,2766.786941,1582.45,574.955725,572.918,698.946177,682.847,1743.865712,1461.49,1872.855779,1616.55,768.940787,785.273,847.934704,830.186
sub-0422,614.94465,549.305,564.94915,507.662,304.97255,314.614,332.97003,337.392,936.91567,677.354,1056.90487,763.545,2714.75565,1610.25,2397.78418,1490.84,561.94942,615.69,668.93979,677.007,1563.85924,1478.42,1649.8515,1516.56,759.9316,807.313,801.92782,824.209
sub-0423,581.895822,540.287,397.928758,430.673,342.938603,347.051,377.932338,364.275,1312.764973,842.849,1121.799162,760.408,2104.623205,1229.55,2051.632692,1216.97,521.906562,564.36,580.896001,573.083,1560.720581,1376.71,1432.743493,1308.76,661.881502,704.985,687.876848,684.859
sub-0424,534.01068,463.392,708.01416,583.032,287.00574,311.679,394.00788,403.366,2308.04616,1184.41,2191.04382,1258.26,3086.06172,1655.26,2893.05786,1647.4,484.00968,590.923,727.01454,718.722,1791.03582,1499.06,1860.0372,1548.75,754.01508,760.55,709.01418,694.65
sub-0426,477.45,485.596,535.05,525.152,322.65,363.055,424.35,419.599,1303.2,846.582,1364.85,912.277,2835.45,1622.64,2455.2,1530.05,553.5,630.852,610.2,653.766,1827,1632.13,1807.2,1583.99,853.65,851.145,877.5,823.116
sub-0433,757.35,605.71,691.2,565.921,351.45,373.163,373.5,395.005,1771.2,1051.08,2271.15,1224.29,3171.15,1773.52,2576.25,1611.63,831.6,765.491,872.1,765.359,1766.7,1531.39,1836.9,1549.64,742.05,752.636,832.5,760.236
sub-0435,545.85,525.429,579.15,540.239,336.6,376.541,396,401.774,1323,880.083,1365.75,906.723,2587.95,1481.93,2397.15,1454.11,617.4,676.575,690.3,691.967,1706.4,1555.35,1644.3,1520.86,868.95,838.872,904.05,841.409
sub-0437,539.55,503.78,458.55,457.249,280.8,351.065,396,408.58,1105.65,763.103,1161.9,803.967,2268,1499.26,2364.75,1515.59,607.95,635.142,718.2,717.788,1841.4,1615.13,1738.8,1622.21,965.7,898.702,961.2,834.26
sub-0438,823.95,678.251,838.8,676.212,328.5,363.105,266.85,329.643,2004.75,1182.61,2386.8,1431.79,3292.2,1786.99,3924,2111.42,579.15,618.683,580.05,620.796,1767.6,1512.28,1800.9,1522.72,970.2,873.583,913.95,786.511
sub-0439,639.9,575.01,670.95,639.83,331.65,336.757,413.55,470.74,1250.55,850.148,1295.1,907.48,2551.05,1622.44,2637.9,1600.16,810,800.837,845.1,815.359,2170.35,1884.81,2077.65,1784.8,973.8,964.174,1045.35,962.387
sub-0440,518.4,525.167,576.45,557.797,344.25,361.319,418.95,411.94,1327.95,981.679,1419.3,1023.13,2979,1768.48,2657.7,1576.34,517.05,565.832,610.65,610.741,1565.1,1423.21,1570.5,1424.25,838.8,815.289,792,724.694
sub-0441,745.65,632.622,639.9,581.31,336.15,375.452,374.85,383.184,1365.3,909.413,1813.95,1117.66,2937.15,1675.92,3129.75,1714.76,739.35,713.397,670.95,693.196,2004.3,1703.99,1905.3,1638.16,1118.7,1003.72,1057.5,875.628
sub-0443,468.45,487.507,525.15,541.046,311.4,370.095,370.8,394.082,1756.8,1016.07,1712.7,1090.52,2907.45,1654.67,2589.75,1570.68,580.5,641.809,722.7,734.16,1832.85,1622.16,1782.45,1623.34,786.6,833.779,814.95,824.073
sub-0445,517.05,529.993,568.8,586.59,381.6,411.136,399.6,420.717,1061.1,791.051,1535.4,1083.38,2843.55,1772.08,3030.3,1830.01,648.9,745.58,662.85,703.413,2026.35,1760.44,1924.65,1619.64,821.25,890.874,909.45,868.777
sub-0461,553.95,504.032,589.5,531.064,302.4,332.11,327.15,360.374,1554.75,948.691,1987.2,1138.43,2775.15,1616.63,2813.85,1570.21,549.9,598.641,619.65,638.433,1522.35,1411.37,1598.4,1432.87,759.15,784.981,719.1,716.409
